times,subsets,Accuracy
1,Environment,0.440310956
2,Environment,0.451790177
3,Environment,0.442635862
4,Environment,0.442635862
5,Environment,0.444088928
6,Environment,0.446268527
7,Environment,0.452807323
8,Environment,0.435370532
9,Environment,0.441182796
10,Environment,0.443798314
11,Environment,0.434643999
12,Environment,0.441182796
13,Environment,0.443798314
14,Environment,0.443362395
15,Environment,0.444088928
16,Environment,0.450918338
17,Environment,0.450773031
18,Environment,0.437695437
19,Environment,0.434498692
20,Environment,0.443507701
1,AutonomousCar,0.555024702
2,AutonomousCar,0.570572508
3,AutonomousCar,0.552263877
4,AutonomousCar,0.556187155
5,AutonomousCar,0.556187155
6,AutonomousCar,0.545579773
7,AutonomousCar,0.561272886
8,AutonomousCar,0.547904679
9,AutonomousCar,0.551246731
10,AutonomousCar,0.555605929
11,AutonomousCar,0.557640221
12,AutonomousCar,0.551246731
13,AutonomousCar,0.557494914
14,AutonomousCar,0.55168265
15,AutonomousCar,0.553862249
16,AutonomousCar,0.561418192
17,AutonomousCar,0.550665504
18,AutonomousCar,0.549938971
19,AutonomousCar,0.552699797
20,AutonomousCar,0.545143854
1,Eyetracking,0.642330718
2,Eyetracking,0.629253124
3,Eyetracking,0.632885789
4,Eyetracking,0.624893926
5,Eyetracking,0.635356001
6,Eyetracking,0.635210695
7,Eyetracking,0.63157803
8,Eyetracking,0.630996803
9,Eyetracking,0.630415577
10,Eyetracking,0.63840744
11,Eyetracking,0.639715199
12,Eyetracking,0.630415577
13,Eyetracking,0.629689044
14,Eyetracking,0.638552746
15,Eyetracking,0.634338855
16,Eyetracking,0.628526591
17,Eyetracking,0.637680907
18,Eyetracking,0.640296425
19,Eyetracking,0.641458878
20,Eyetracking,0.639279279
1,AutonomousCarandenvironment,0.5998576
2,AutonomousCarandenvironment,0.598840453
3,AutonomousCarandenvironment,0.593900029
4,AutonomousCarandenvironment,0.594190642
5,AutonomousCarandenvironment,0.599712293
6,AutonomousCarandenvironment,0.597242081
7,AutonomousCarandenvironment,0.602037198
8,AutonomousCarandenvironment,0.592737576
9,AutonomousCarandenvironment,0.601455972
10,AutonomousCarandenvironment,0.597823307
11,AutonomousCarandenvironment,0.592737576
12,AutonomousCarandenvironment,0.596224935
13,AutonomousCarandenvironment,0.594481255
14,AutonomousCarandenvironment,0.596079628
15,AutonomousCarandenvironment,0.593754722
16,AutonomousCarandenvironment,0.595207788
17,AutonomousCarandenvironment,0.595062482
18,AutonomousCarandenvironment,0.595353095
19,AutonomousCarandenvironment,0.592301656
20,AutonomousCarandenvironment,0.594917175
1,Eyetrackingandautonomouscar,0.639697762
2,Eyetrackingandautonomouscar,0.64449288
3,Eyetrackingandautonomouscar,0.63679163
4,Eyetrackingandautonomouscar,0.639261842
5,Eyetrackingandautonomouscar,0.647834932
6,Eyetrackingandautonomouscar,0.642458588
7,Eyetrackingandautonomouscar,0.642894507
8,Eyetrackingandautonomouscar,0.634176112
9,Eyetrackingandautonomouscar,0.638244696
10,Eyetrackingandautonomouscar,0.639116536
11,Eyetrackingandautonomouscar,0.645074106
12,Eyetrackingandautonomouscar,0.638244696
13,Eyetrackingandautonomouscar,0.633158965
14,Eyetrackingandautonomouscar,0.641586748
15,Eyetrackingandautonomouscar,0.631560593
16,Eyetrackingandautonomouscar,0.64362104
17,Eyetrackingandautonomouscar,0.641150828
18,Eyetrackingandautonomouscar,0.629380994
19,Eyetrackingandautonomouscar,0.639116536
20,Eyetrackingandautonomouscar,0.634757338
1,Eyetrackingandenvironment,0.729779134
2,Eyetrackingandenvironment,0.724548096
3,Eyetrackingandenvironment,0.721206045
4,Eyetrackingandenvironment,0.724693403
5,Eyetrackingandenvironment,0.724257483
6,Eyetrackingandenvironment,0.72483871
7,Eyetrackingandenvironment,0.730941587
8,Eyetrackingandenvironment,0.722804417
9,Eyetrackingandenvironment,0.717428073
10,Eyetrackingandenvironment,0.72396687
11,Eyetrackingandenvironment,0.721787271
12,Eyetrackingandenvironment,0.717428073
13,Eyetrackingandenvironment,0.723676257
14,Eyetrackingandenvironment,0.722659111
15,Eyetrackingandenvironment,0.72396687
16,Eyetrackingandenvironment,0.725855856
17,Eyetrackingandenvironment,0.728035455
18,Eyetrackingandenvironment,0.718735833
19,Eyetrackingandenvironment,0.727454228
20,Eyetrackingandenvironment,0.722223191
1,All,0.823940947
2,All,0.82641116
3,All,0.826265853
4,All,0.827864226
5,All,0.826847079
6,All,0.824522174
7,All,0.828300145
8,All,0.822923801
9,All,0.82641116
10,All,0.822342575
11,All,0.823795641
12,All,0.82641116
13,All,0.821616042
14,All,0.821325429
15,All,0.826120546
16,All,0.823650334
17,All,0.828445452
18,All,0.822342575
19,All,0.827428306
20,All,0.828445452
