Environment,Autonomous car,Eye tracking,Autonomous car and environment,Eye tracking and autonomous car,Eye tracking and environment,All
0.440310956,0.555024702,0.642330718,0.5998576,0.639697762,0.729779134,0.823940947
0.451790177,0.570572508,0.629253124,0.598840453,0.64449288,0.724548096,0.82641116
0.442635862,0.552263877,0.632885789,0.593900029,0.63679163,0.721206045,0.826265853
0.442635862,0.556187155,0.624893926,0.594190642,0.639261842,0.724693403,0.827864226
0.444088928,0.556187155,0.635356001,0.599712293,0.647834932,0.724257483,0.826847079
0.446268527,0.545579773,0.635210695,0.597242081,0.642458588,0.72483871,0.824522174
0.452807323,0.561272886,0.63157803,0.602037198,0.642894507,0.730941587,0.828300145
0.435370532,0.547904679,0.630996803,0.592737576,0.634176112,0.722804417,0.822923801
0.441182796,0.551246731,0.630415577,0.601455972,0.638244696,0.717428073,0.82641116
0.443798314,0.555605929,0.63840744,0.597823307,0.639116536,0.72396687,0.822342575
0.434643999,0.557640221,0.639715199,0.592737576,0.645074106,0.721787271,0.823795641
0.441182796,0.551246731,0.630415577,0.596224935,0.638244696,0.717428073,0.82641116
0.443798314,0.557494914,0.629689044,0.594481255,0.633158965,0.723676257,0.821616042
0.443362395,0.55168265,0.638552746,0.596079628,0.641586748,0.722659111,0.821325429
0.444088928,0.553862249,0.634338855,0.593754722,0.631560593,0.72396687,0.826120546
0.450918338,0.561418192,0.628526591,0.595207788,0.64362104,0.725855856,0.823650334
0.450773031,0.550665504,0.637680907,0.595062482,0.641150828,0.728035455,0.828445452
0.437695437,0.549938971,0.640296425,0.595353095,0.629380994,0.718735833,0.822342575
0.434498692,0.552699797,0.641458878,0.592301656,0.639116536,0.727454228,0.827428306
0.443507701,0.545143854,0.639279279,0.594917175,0.634757338,0.722223191,0.828445452
