times,subsets,Accuracy
1,1,0.440310956
2,1,0.451790177
3,1,0.442635862
4,1,0.442635862
5,1,0.444088928
6,1,0.446268527
7,1,0.452807323
8,1,0.435370532
9,1,0.441182796
10,1,0.443798314
11,1,0.434643999
12,1,0.441182796
13,1,0.443798314
14,1,0.443362395
15,1,0.444088928
16,1,0.450918338
17,1,0.450773031
18,1,0.437695437
19,1,0.434498692
20,1,0.443507701
1,2,0.555024702
2,2,0.570572508
3,2,0.552263877
4,2,0.556187155
5,2,0.556187155
6,2,0.545579773
7,2,0.561272886
8,2,0.547904679
9,2,0.551246731
10,2,0.555605929
11,2,0.557640221
12,2,0.551246731
13,2,0.557494914
14,2,0.55168265
15,2,0.553862249
16,2,0.561418192
17,2,0.550665504
18,2,0.549938971
19,2,0.552699797
20,2,0.545143854
1,3,0.642330718
2,3,0.629253124
3,3,0.632885789
4,3,0.624893926
5,3,0.635356001
6,3,0.635210695
7,3,0.63157803
8,3,0.630996803
9,3,0.630415577
10,3,0.63840744
11,3,0.639715199
12,3,0.630415577
13,3,0.629689044
14,3,0.638552746
15,3,0.634338855
16,3,0.628526591
17,3,0.637680907
18,3,0.640296425
19,3,0.641458878
20,3,0.639279279
1,4,0.5998576
2,4,0.598840453
3,4,0.593900029
4,4,0.594190642
5,4,0.599712293
6,4,0.597242081
7,4,0.602037198
8,4,0.592737576
9,4,0.601455972
10,4,0.597823307
11,4,0.592737576
12,4,0.596224935
13,4,0.594481255
14,4,0.596079628
15,4,0.593754722
16,4,0.595207788
17,4,0.595062482
18,4,0.595353095
19,4,0.592301656
20,4,0.594917175
1,5,0.639697762
2,5,0.64449288
3,5,0.63679163
4,5,0.639261842
5,5,0.647834932
6,5,0.642458588
7,5,0.642894507
8,5,0.634176112
9,5,0.638244696
10,5,0.639116536
11,5,0.645074106
12,5,0.638244696
13,5,0.633158965
14,5,0.641586748
15,5,0.631560593
16,5,0.64362104
17,5,0.641150828
18,5,0.629380994
19,5,0.639116536
20,5,0.634757338
1,6,0.729779134
2,6,0.724548096
3,6,0.721206045
4,6,0.724693403
5,6,0.724257483
6,6,0.72483871
7,6,0.730941587
8,6,0.722804417
9,6,0.717428073
10,6,0.72396687
11,6,0.721787271
12,6,0.717428073
13,6,0.723676257
14,6,0.722659111
15,6,0.72396687
16,6,0.725855856
17,6,0.728035455
18,6,0.718735833
19,6,0.727454228
20,6,0.722223191
1,7,0.823940947
2,7,0.82641116
3,7,0.826265853
4,7,0.827864226
5,7,0.826847079
6,7,0.824522174
7,7,0.828300145
8,7,0.822923801
9,7,0.82641116
10,7,0.822342575
11,7,0.823795641
12,7,0.82641116
13,7,0.821616042
14,7,0.821325429
15,7,0.826120546
16,7,0.823650334
17,7,0.828445452
18,7,0.822342575
19,7,0.827428306
20,7,0.828445452
