Environment,Autonomous car,Eye tracking,Autonomous car and environment,Eye tracking and autonomous car,Eye tracking and environment,All
0.350449912,0.31620711,0.550116502,0.549885954,0.637163519,0.709807187,0.822044099
0.361297075,0.331711853,0.537039167,0.548757044,0.64143976,0.704362902,0.824573525
0.351471564,0.313294755,0.540418355,0.543899785,0.633194411,0.701422522,0.824490354
0.352807009,0.31802453,0.532323092,0.544356152,0.637091413,0.704667361,0.826060384
0.354428334,0.316684226,0.541845752,0.54971843,0.644306479,0.704143316,0.824995557
0.356915112,0.306870013,0.542970727,0.547143666,0.639712337,0.704869673,0.822743473
0.362751852,0.322573133,0.538343015,0.552203094,0.639696688,0.710865999,0.826583113
0.344406422,0.308644364,0.537684652,0.542791924,0.632091086,0.702981524,0.821152059
0.350748932,0.311416084,0.538212936,0.551392095,0.636873539,0.69751722,0.824564916
0.3519694,0.316282296,0.545549308,0.547785416,0.636065566,0.703898943,0.8204943
0.345766688,0.318621409,0.547476873,0.542817572,0.64167998,0.701671811,0.821952125
0.350748932,0.311416084,0.538212936,0.546194417,0.636873539,0.69751722,0.824564916
0.353638543,0.318059026,0.537842264,0.544436766,0.631072076,0.703597031,0.81969084
0.354212579,0.312904236,0.54607234,0.546210958,0.638808412,0.702868974,0.819599943
0.35340111,0.315288597,0.541467636,0.543590525,0.628435149,0.703842554,0.824144473
0.360757521,0.322053635,0.536708757,0.545067295,0.640902192,0.705810768,0.821786059
0.361148491,0.312010963,0.544745034,0.545144363,0.638427243,0.707844251,0.826556442
0.348321323,0.311355665,0.547792245,0.545340739,0.627071769,0.698771371,0.820540474
0.343299414,0.313520377,0.547929905,0.542253833,0.636029903,0.707184478,0.82551888
0.353559869,0.30601826,0.546199254,0.544954123,0.632603797,0.702090331,0.826612237
