F1Score,e_f1_scores,t_f1_scores,c_f1_scores,,,,,
0.785044099,0.350449912,0.550116502,0.31620711,,,,,
0.787573525,0.361297075,0.537039167,0.331711853,,,,,
0.787490354,0.351471564,0.540418355,0.313294755,,,,,
0.789060384,0.352807009,0.532323092,0.31802453,,,,,
0.787995557,0.354428334,0.541845752,0.316684226,,,,,
0.785743473,0.356915112,0.542970727,0.306870013,,,,,Column: e_f1_scores
0.789583113,0.362751852,0.538343015,0.322573133,,,,,Mean: 0.3531050041
0.784152059,0.344406422,0.537684652,0.308644364,,,,,Standard deviation: 0.005488035278031696
0.787564916,0.350748932,0.538212936,0.311416084,,,,,T-statistic: 363.95396781938655
0.7834943,0.3519694,0.545549308,0.316282296,,,,,P-value: 5.553469846540528e-38
0.784952125,0.345766688,0.547476873,0.318621409,,,,,
0.787564916,0.350748932,0.538212936,0.311416084,,,,,Column: t_f1_scores
0.78269084,0.353638543,0.537842264,0.318059026,,,,,Mean: 0.5419475374999999
0.782599943,0.354212579,0.54607234,0.312904236,,,,,Standard deviation: 0.004849579918662336
0.787144473,0.35340111,0.541467636,0.315288597,,,,,T-statistic: 186.95708676637463
0.784786059,0.360757521,0.536708757,0.322053635,,,,,P-value: 1.7369152566405253e-32
0.789556442,0.361148491,0.544745034,0.312010963,,,,,
0.783540474,0.348321323,0.547792245,0.311355665,,,,,Column: c_f1_scores
0.78851888,0.343299414,0.547929905,0.313520377,,,,,Mean: 0.3151478307999999
0.789612237,0.353559869,0.546199254,0.30601826,,,,,Standard deviation: 0.0059300867125897236
,,,,,,,,T-statistic: 333.2244035126957
,,,,,,,,P-value: 2.967148042785003e-37
