times,model,Accuracy,,/Users/zhenghongtao/opt/anaconda3/python.app/Contents/MacOS/python /Users/zhenghongtao/Desktop/pythonProject1/anove_lm.py
1,1,0.786290323,,                      sum_sq      df             F         PR(>F)
1,1,0.790322581,,C(times)            0.044893    59.0     14.241186  5.598225e-128
1,1,0.785483871,,C(model)           20.609079     4.0  96431.557852   0.000000e+00
1,1,0.780107527,,C(times):C(model)   0.122633   236.0      9.725582  2.897010e-270
1,1,0.77983871,,Residual            0.304547  5700.0           NaN            NaN
1,1,0.779301075,,"Multiple Comparison of Means - Tukey HSD, FWER=0.05"
1,1,0.789516129,,===================================================
1,1,0.777150538,,group1 group2 meandiff p-adj  lower   upper  reject
1,1,0.790322581,,---------------------------------------------------
1,1,0.790053763,,     1      3   0.0457   0.0  0.0447  0.0467   True
1,1,0.781989247,,     1      4  -0.0617   0.0 -0.0627 -0.0607   True
1,1,0.790322581,,     1      5  -0.0727   0.0 -0.0737 -0.0717   True
1,1,0.779569892,,     1      6   -0.122   0.0 -0.1229  -0.121   True
1,1,0.793010753,,     3      4  -0.1074   0.0 -0.1084 -0.1064   True
1,1,0.783064516,,     3      5  -0.1184   0.0 -0.1194 -0.1174   True
1,1,0.787096774,,     3      6  -0.1676   0.0 -0.1686 -0.1666   True
1,1,0.779301075,,     4      5   -0.011   0.0  -0.012   -0.01   True
1,1,0.790860215,,     4      6  -0.0602   0.0 -0.0612 -0.0593   True
1,1,0.781989247,,     5      6  -0.0493   0.0 -0.0503 -0.0483   True
1,1,0.787903226,,---------------------------------------------------
1,3,0.815591398,,
1,3,0.822580645,,Process finished with exit code 0
1,3,0.816129032,,
1,3,0.81827957,,
1,3,0.814784946,,
1,3,0.817473118,,
1,3,0.816397849,,
1,3,0.81827957,,
1,3,0.816129032,,
1,3,0.819086022,,
1,3,0.818548387,,
1,3,0.816129032,,
1,3,0.815322581,,
1,3,0.823655914,,
1,3,0.821236559,,
1,3,0.809408602,,
1,3,0.822043011,,
1,3,0.817204301,,
1,3,0.818817204,,
1,3,0.814516129,,
1,4,0.715053763,,
1,4,0.721774194,,
1,4,0.727419355,,
1,4,0.716666667,,
1,4,0.708870968,,
1,4,0.715860215,,
1,4,0.724193548,,
1,4,0.718817204,,
1,4,0.720967742,,
1,4,0.717204301,,
1,4,0.721774194,,
1,4,0.720967742,,
1,4,0.716935484,,
1,4,0.72016129,,
1,4,0.726344086,,
1,4,0.725806452,,
1,4,0.716935484,,
1,4,0.722849462,,
1,4,0.724731183,,
1,4,0.731182796,,
1,5,0.695967742,,
1,5,0.697849462,,
1,5,0.69811828,,
1,5,0.69811828,,
1,5,0.696236559,,
1,5,0.69327957,,
1,5,0.701612903,,
1,5,0.697311828,,
1,5,0.696774194,,
1,5,0.705376344,,
1,5,0.707258065,,
1,5,0.696774194,,
1,5,0.691397849,,
1,5,0.700806452,,
1,5,0.71344086,,
1,5,0.708602151,,
1,5,0.705376344,,
1,5,0.702956989,,
1,5,0.702150538,,
1,5,0.690591398,,
1,6,0.645967742,,
1,6,0.651344086,,
1,6,0.654301075,,
1,6,0.649193548,,
1,6,0.641666667,,
1,6,0.652150538,,
1,6,0.65,,
1,6,0.64327957,,
1,6,0.64327957,,
1,6,0.655376344,,
1,6,0.657526882,,
1,6,0.64327957,,
1,6,0.639784946,,
1,6,0.641666667,,
1,6,0.657795699,,
1,6,0.659946237,,
1,6,0.656451613,,
1,6,0.653225806,,
1,6,0.652956989,,
1,6,0.638172043,,
2,1,0.781989247,,
2,1,0.79811828,,
2,1,0.787634409,,
2,1,0.785752688,,
2,1,0.782258065,,
2,1,0.792204301,,
2,1,0.780645161,,
2,1,0.784139785,,
2,1,0.777150538,,
2,1,0.775,,
2,1,0.788172043,,
2,1,0.777150538,,
2,1,0.781989247,,
2,1,0.784139785,,
2,1,0.790053763,,
2,1,0.78655914,,
2,1,0.784139785,,
2,1,0.781451613,,
2,1,0.789784946,,
2,1,0.775,,
2,3,0.822849462,,
2,3,0.815860215,,
2,3,0.820430108,,
2,3,0.811021505,,
2,3,0.813172043,,
2,3,0.822043011,,
2,3,0.822311828,,
2,3,0.823924731,,
2,3,0.818010753,,
2,3,0.813172043,,
2,3,0.813172043,,
2,3,0.818010753,,
2,3,0.816666667,,
2,3,0.819086022,,
2,3,0.822580645,,
2,3,0.811290323,,
2,3,0.816666667,,
2,3,0.808064516,,
2,3,0.815591398,,
2,3,0.812096774,,
2,4,0.709139785,,
2,4,0.732258065,,
2,4,0.723655914,,
2,4,0.713978495,,
2,4,0.714247312,,
2,4,0.727419355,,
2,4,0.72688172,,
2,4,0.715860215,,
2,4,0.729301075,,
2,4,0.726344086,,
2,4,0.723924731,,
2,4,0.729301075,,
2,4,0.712903226,,
2,4,0.71827957,,
2,4,0.725,,
2,4,0.71827957,,
2,4,0.712096774,,
