times,model,Accuracy,F1 Score,Recall,Precision,weighted_precision,weighted_recall,test_accuracy,test_f1_weighted
1,1,0.786290323,0.785259056,0.786290323,0.785598558,0.785598558,0.786290323,0.452956989,0.451047223
1,1,0.790322581,0.789454757,0.790322581,0.789935466,0.789935466,0.790322581,0.44811828,0.446425677
1,1,0.785483871,0.784700972,0.785483871,0.785939172,0.785939172,0.785483871,0.470967742,0.469054838
1,1,0.780107527,0.778977743,0.780107527,0.780051323,0.780051323,0.780107527,0.456989247,0.455867983
1,1,0.77983871,0.778536994,0.77983871,0.779596112,0.779596112,0.77983871,0.433870968,0.431767969
1,1,0.779301075,0.778660753,0.779301075,0.779244991,0.779244991,0.779301075,0.454032258,0.452096848
1,1,0.789516129,0.7884893,0.789516129,0.789807568,0.789807568,0.789516129,0.420430108,0.419322642
1,1,0.777150538,0.776290925,0.777150538,0.777128143,0.777128143,0.777150538,0.437634409,0.435915461
1,1,0.790322581,0.789479796,0.790322581,0.790098182,0.790098182,0.790322581,0.45672043,0.454626433
1,1,0.790053763,0.788791017,0.790053763,0.789160923,0.789160923,0.790053763,0.436290323,0.434949087
1,1,0.781989247,0.780966564,0.781989247,0.781234304,0.781234304,0.781989247,0.440053763,0.43759524
1,1,0.790322581,0.789479796,0.790322581,0.790098182,0.790098182,0.790322581,0.454032258,0.451690388
1,1,0.779569892,0.778421822,0.779569892,0.779521279,0.779521279,0.779569892,0.449731183,0.449158029
1,1,0.793010753,0.792214869,0.793010753,0.793244643,0.793244643,0.793010753,0.461021505,0.458169193
1,1,0.783064516,0.781961584,0.783064516,0.78300685,0.78300685,0.783064516,0.438709677,0.436214281
1,1,0.787096774,0.786004733,0.787096774,0.786176077,0.786176077,0.787096774,0.465591398,0.462641494
1,1,0.779301075,0.778142164,0.779301075,0.779023938,0.779023938,0.779301075,0.459677419,0.456808641
1,1,0.790860215,0.79030794,0.790860215,0.790997153,0.790997153,0.790860215,0.443817204,0.441282984
1,1,0.781989247,0.781060964,0.781989247,0.781577129,0.781577129,0.781989247,0.453225806,0.451345875
1,1,0.787903226,0.787046649,0.787903226,0.788031626,0.788031626,0.787903226,0.455376344,0.453625986
1,3,0.815591398,0.81567883,0.815591398,0.816200202,0.816200202,0.815591398,0.71827957,0.717464559
1,3,0.822580645,0.822630408,0.822580645,0.823037559,0.823037559,0.822580645,0.718817204,0.718440369
1,3,0.816129032,0.816109121,0.816129032,0.816369796,0.816369796,0.816129032,0.713172043,0.712451252
1,3,0.81827957,0.818338889,0.81827957,0.819013426,0.819013426,0.81827957,0.716397849,0.715627178
1,3,0.814784946,0.814789968,0.814784946,0.814912265,0.814912265,0.814784946,0.710483871,0.710093476
1,3,0.817473118,0.817355062,0.817473118,0.81753007,0.81753007,0.817473118,0.721505376,0.72119099
1,3,0.816397849,0.81641325,0.816397849,0.81685041,0.81685041,0.816397849,0.719892473,0.719006034
